"User ID","Product ID","Interaction Type","Time Stamp"
"CUS001","PRD001","View",10/5/2023 9:00
"CUS001","PRD002","Like",10/5/2023 9:05
"CUS001","PRD003","Purchase",10/5/2023 9:10
"CUS001","PRD004","View",10/6/2023 10:00
"CUS001","PRD005","Like",10/6/2023 10:05
"CUS001","PRD006","Purchase",10/2/2023 10:10
"CUS001","PRD007","View",10/3/2023 11:00
"CUS001","PRD008","Like",10/3/2023 11:05
"CUS002","PRD009","Purchase",10/3/2023 11:10
"CUS002","PRD010","View",10/4/2023 12:00
"CUS002","PRD011","Like",10/4/2023 12:05
"CUS002","PRD012","Purchase",10/4/2023 12:10
"CUS002","PRD013","View",10/5/2023 13:00
"CUS002","PRD014","View",10/6/2023 14:00
"CUS002","PRD015","Like",10/6/2023 14:05
"CUS003","PRD016","Purchase",10/6/2023 14:10
"CUS003","PRD017","View",10/7/2023 15:00
"CUS003","PRD018","Like",10/7/2023 15:05
"CUS003","PRD019","Purchase",10/7/2023 15:10
"CUS003","PRD020","View",10/8/2023 16:00
"CUS004","PRD001","View",10/9/2023 17:00
"CUS004","PRD002","Like",10/9/2023 17:05
"CUS004","PRD003","Purchase",10/9/2023 17:10
"CUS004","PRD004","View",10/10/2023 18:00
"CUS004","PRD005","Like",10/10/2023 18:05
"CUS005","PRD006","View",10/11/2023 19:00
"CUS005","PRD007","Like",10/11/2023 19:05
"CUS005","PRD008","Purchase",10/11/2023 19:10
"CUS005","PRD009","View",10/12/2023 20:00
"CUS005","PRD010","Like",10/12/2023 20:05
