id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
89648,61749,49362,14235,241929,Complete,2019-08-04 14:26:00 UTC,2019-08-01 04:33:00 UTC,2019-08-02 09:24:00 UTC,,0.0199999995529651
137052,94346,75385,14159,369603,Cancelled,2024-08-22 16:48:19 UTC,,,,0.49000000953674311
22367,15431,12367,14159,60413,Complete,2020-05-29 12:02:20 UTC,2020-05-29 03:43:00 UTC,2020-05-29 14:09:00 UTC,,0.49000000953674311
40738,28141,22516,14159,109957,Complete,2021-02-26 10:59:47 UTC,2021-02-28 09:26:00 UTC,2021-03-01 18:44:00 UTC,,0.49000000953674311
58354,40241,32110,14159,157594,Complete,2022-12-15 14:20:40 UTC,2022-12-15 05:35:00 UTC,2022-12-17 16:10:00 UTC,,0.49000000953674311
79157,54505,43623,14159,213720,Complete,2023-10-30 12:36:08 UTC,2023-11-02 16:07:00 UTC,2023-11-04 10:39:00 UTC,,0.49000000953674311
22663,15633,12523,14159,61203,Shipped,2021-10-15 15:13:25 UTC,2021-10-16 09:09:00 UTC,,,0.49000000953674311
44558,30790,24620,14159,120291,Shipped,2023-05-26 10:43:20 UTC,2023-05-28 14:06:00 UTC,,,0.49000000953674311
155079,106671,85319,14159,418430,Shipped,2024-02-06 06:54:04 UTC,2024-02-08 01:26:00 UTC,,,0.49000000953674311
159160,109529,87564,14159,429401,Shipped,2024-06-13 09:29:40 UTC,2024-06-14 19:22:00 UTC,,,0.49000000953674311
160454,110417,88298,14159,432872,Shipped,2023-07-25 15:47:11 UTC,2023-07-24 23:39:00 UTC,,,0.49000000953674311
62432,43011,34337,28700,168614,Cancelled,2024-08-07 10:56:20 UTC,,,,1.5
7980,5458,4325,28700,21645,Complete,2024-07-27 07:57:44 UTC,2024-07-27 19:49:00 UTC,2024-07-30 17:01:00 UTC,,1.5
54130,37294,29763,28700,146129,Complete,2024-06-10 03:56:02 UTC,2024-06-10 20:15:00 UTC,2024-06-11 08:05:00 UTC,,1.5
95148,65506,52288,14202,256813,Complete,2024-08-17 16:31:02 UTC,2024-08-20 04:08:00 UTC,2024-08-24 18:30:00 UTC,,1.5
68906,47469,37962,14202,186145,Processing,2022-03-13 12:45:58 UTC,,,,1.5
144361,99376,79457,14202,389476,Processing,2023-08-19 08:13:48 UTC,,,,1.5
1772,1209,957,28700,4799,Returned,2024-03-17 22:01:57 UTC,2024-03-17 19:25:00 UTC,2024-03-22 13:13:00 UTC,2024-03-25 05:25:00 UTC,1.5
33766,23304,18696,28700,91177,Shipped,2023-07-05 10:22:14 UTC,2023-07-04 12:03:00 UTC,,,1.5
47272,32650,26095,28700,127615,Shipped,2024-01-09 02:49:31 UTC,2024-01-08 21:00:00 UTC,,,1.5
55728,38432,30678,28700,150454,Shipped,2023-08-23 02:19:30 UTC,2023-08-21 18:43:00 UTC,,,1.5
98652,67887,54170,13629,266252,Complete,2022-09-11 15:45:44 UTC,2022-09-13 16:23:00 UTC,2022-09-17 10:58:00 UTC,,1.5099999904632568
173608,119503,95548,13629,468466,Complete,2022-02-25 03:17:53 UTC,2022-02-26 23:25:00 UTC,2022-03-01 19:40:00 UTC,,1.5099999904632568
7253,4955,3939,13629,19684,Shipped,2024-06-24 21:34:27 UTC,2024-06-25 05:24:00 UTC,,,1.5099999904632568
132792,91380,72984,13629,358155,Shipped,2024-01-21 14:39:25 UTC,2024-01-18 23:32:00 UTC,,,1.5099999904632568
39916,27570,22070,14298,107719,Shipped,2024-01-23 04:18:42 UTC,2024-01-25 12:03:00 UTC,,,1.7200000286102295
47092,32531,26010,14298,127160,Shipped,2024-02-08 10:59:30 UTC,2024-02-05 23:27:00 UTC,,,1.7200000286102295
93909,64679,51634,14298,253424,Shipped,2020-05-15 21:46:58 UTC,2020-05-13 23:15:00 UTC,,,1.7200000286102295
166588,114614,91677,14298,449479,Shipped,2024-07-29 16:16:00 UTC,2024-07-26 17:44:00 UTC,,,1.7200000286102295
31426,21699,17445,12536,84833,Cancelled,2022-01-09 06:21:58 UTC,,,,1.75
98573,67832,54121,12536,266035,Complete,2024-09-01 10:37:43 UTC,2024-09-03 21:59:00 UTC,2024-09-07 15:32:00 UTC,,1.75
80424,55385,44328,12536,217133,Returned,2021-10-09 16:55:26 UTC,2021-10-10 04:56:00 UTC,2021-10-14 21:23:00 UTC,2021-10-16 03:45:00 UTC,1.75
29502,20385,16378,12536,79605,Shipped,2024-06-28 22:24:44 UTC,2024-06-29 22:02:00 UTC,,,1.75
58583,40388,32217,12536,158207,Shipped,2024-02-18 14:48:33 UTC,2024-02-19 06:26:00 UTC,,,1.75
84603,58284,46567,12536,228355,Shipped,2023-01-06 14:07:17 UTC,2023-01-05 12:21:00 UTC,,,1.75
146573,100892,80679,12536,395456,Shipped,2024-06-07 09:24:56 UTC,2024-06-08 23:51:00 UTC,,,1.75
102619,70600,56385,13659,276991,Cancelled,2022-01-21 02:06:36 UTC,,,,1.8200000524520876
3445,2371,1884,13659,9394,Complete,2024-04-29 03:04:05 UTC,2024-05-02 01:04:00 UTC,2024-05-04 00:50:00 UTC,,1.8200000524520876
19837,13664,10930,13659,53610,Complete,2022-09-18 10:39:48 UTC,2022-09-18 16:24:00 UTC,2022-09-22 07:40:00 UTC,,1.8200000524520876
149969,103165,82514,15332,404619,Complete,2024-09-03 03:21:25.687601 UTC,2024-09-03 21:08:52.687601 UTC,2024-09-05 16:09:52.687601 UTC,,1.8200000524520876
6986,4767,3783,15332,18974,Processing,2023-04-18 07:17:48 UTC,,,,1.8200000524520876
22381,15439,12372,13659,60452,Processing,2023-10-10 08:30:32 UTC,,,,1.8200000524520876
53466,36860,29414,15332,144315,Processing,2022-01-06 06:29:11 UTC,,,,1.8200000524520876
151621,104318,83452,15332,409081,Processing,2019-07-15 16:01:34 UTC,,,,1.8200000524520876
165858,114119,91289,15332,447494,Processing,2024-08-31 08:24:06 UTC,,,,1.8200000524520876
43795,30262,24220,13659,118227,Shipped,2022-11-15 12:57:15 UTC,2022-11-18 07:16:00 UTC,,,1.8200000524520876
84618,58294,46575,15332,228394,Shipped,2024-06-28 11:21:23 UTC,2024-06-30 13:42:00 UTC,,,1.8200000524520876
130994,90097,71961,13659,353300,Shipped,2022-10-19 11:30:09 UTC,2022-10-21 18:21:00 UTC,,,1.8200000524520876
162103,111559,89223,15332,437384,Shipped,2023-09-07 12:55:58 UTC,2023-09-10 08:48:00 UTC,,,1.8200000524520876
93125,64132,51174,9043,251297,Cancelled,2021-01-16 06:44:50 UTC,,,,1.950000047683716
29,22,19,3049,74,Complete,2024-06-10 05:45:16 UTC,2024-06-12 10:52:00 UTC,2024-06-16 04:00:00 UTC,,1.950000047683716
86608,59665,47672,9204,233750,Complete,2024-08-27 15:08:26 UTC,2024-08-28 14:45:00 UTC,2024-08-31 12:57:00 UTC,,1.950000047683716
99657,68578,54715,3049,268977,Complete,2024-04-14 11:18:47 UTC,2024-04-16 06:13:00 UTC,2024-04-19 05:21:00 UTC,,1.950000047683716
143777,98968,79137,3049,387841,Complete,2023-05-12 15:35:42 UTC,2023-05-12 21:04:00 UTC,2023-05-13 15:09:00 UTC,,1.950000047683716
70099,48307,38638,9043,189360,Processing,2022-10-03 00:07:53 UTC,,,,1.950000047683716
29267,20224,16232,9043,78966,Returned,2024-08-16 11:14:16 UTC,2024-08-16 23:30:00 UTC,2024-08-19 12:51:00 UTC,2024-08-21 04:52:00 UTC,1.950000047683716
153558,105627,84502,9043,414313,Returned,2024-08-23 02:50:07 UTC,2024-08-25 08:42:00 UTC,2024-08-28 15:25:00 UTC,2024-08-31 03:17:00 UTC,1.950000047683716
21668,14934,11969,9043,58547,Shipped,2021-10-20 22:23:18 UTC,2021-10-21 16:31:00 UTC,,,1.950000047683716
63656,43860,35010,9204,171910,Shipped,2020-07-09 13:52:13 UTC,2020-07-07 04:42:00 UTC,,,1.950000047683716
99309,68337,54518,9043,268048,Shipped,2023-10-13 13:58:47 UTC,2023-10-14 04:39:00 UTC,,,1.950000047683716
109458,75367,60152,9043,295474,Shipped,2024-01-26 10:58:21 UTC,2024-01-25 18:19:00 UTC,,,1.950000047683716
