Courier_id,CourierName,PhoneNumber
1,Speedy Express,(555) 123-4567
2,Rapid Delivery,(555) 234-5678
3,Fast Track Courier,(555) 345-6789
4,Quick Ship,(555) 456-7890
5,Lightning Logistics,(555) 567-8901
6,Turbo Transport,(555) 678-9012
7,Swift Couriers,(555) 789-0123
8,Velocity Services,(555) 890-1234
9,Fleet Feet Delivery,(555) 901-2345
10,Rocket Couriers,(555) 012-3456
11,Express Logistics,(555) 123-6789
12,Arrow Delivery,(555) 234-7890
13,Dash Couriers,(555) 345-8901
14,Jet Transport,(555) 456-9012
15,Eagle Express,(555) 567-0123
